,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings.Source,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response
11,Pather Panchali,1955,NOT RATED,22-Sep-58,125 min,Drama,Satyajit Ray,"Bibhutibhushan Bandyopadhyay (novel), Satyajit Ray (screenplay)","Kanu Bannerjee, Karuna Bannerjee, Chunibala Devi, Uma Das Gupta","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Bengali,India,Nominated for 1 BAFTA Film Award. Another 8 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0Njg1OTg0Nl5BMl5BanBnXkFtZTgwNzQ2MzkwNzE@._V1_SX300.jpg,Internet Movie Database,8.4/10,N/A,8.4,"15,779",tt0048473,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/pather-panchali-song-of-the-little-road/,28-Oct-03,N/A,Sony Pictures Classics,N/A,TRUE
12,Chupke Chupke,1975,NOT RATED,11-Apr-75,127 min,"Comedy, Drama, Romance",Hrishikesh Mukherjee,"Upendranath Ganguly (story), D.N. Mukherjee (screenplay), Gulzar (screenplay), Gulzar (dialogue), Mohini N. Sippy (associate screenplay writer)","Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri",A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,Hindi,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMjMzMzU2N15BMl5BanBnXkFtZTgwMDkxOTE3NDE@._V1_SX300.jpg,Internet Movie Database,8.5/10,N/A,8.5,"7,731",tt0072783,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/jijaji/,15-May-07,N/A,N/A,N/A,TRUE
13,Thalapathi,1991,NOT RATED,25-Nov-91,157 min,"Crime, Drama",Mani Ratnam,"Mani Ratnam (screenplay), Mani Ratnam (story), Umesh Sharma (dialogue)","Rajinikanth, Mammootty, Shobana, Arvind Swamy",Surya (Rajnikanth) is an orphan raised in a slum. He finds a friend in the local Godfather (Mamooty). They rule the town and forms a parallel government. Things are well until new district ...,Tamil,India,3 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BZGE5NzVjNTEtMGUwYi00YzU0LWIyYTctNDc0ZjMxNGNhYzg5XkEyXkFqcGdeQXVyMjMwODI3NDE@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"5,050",tt0101649,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/thalapathi/,N/A,N/A,N/A,N/A,TRUE
14,Khosla Ka Ghosla!,2006,NOT RATED,22-Sep-06,135 min,"Comedy, Crime, Drama",Dibakar Banerjee,"Jaideep Sahni (story, screenplay & dialogue)","Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma",A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,Hindi,India,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTg2YWFkOGMtYWExMy00YmFiLTk2YjctNTAzZDk5MjdhMzdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"15,027",tt0466460,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/khosla_ka_ghosla/,17-Oct-06,N/A,N/A,N/A,TRUE
15,A Wednesday,2008,NOT RATED,05-Sep-08,104 min,"Crime, Drama, Mystery",Neeraj Pandey,"Neeraj Pandey (story), Neeraj Pandey (script)","Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,"Hindi, English",India,7 wins & 20 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzODEzMjE1MTJeQTJeQWpwZ15BbWU3MDE3NjQ5Mzk@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"52,217",tt1280558,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/a-wednesday/,02-Dec-08,N/A,UTV Communications,N/A,TRUE
16,Thani Oruvan,2015,NOT RATED,28-Aug-15,160 min,"Action, Crime, Thriller",M. Raja,"A.N. Balakrishnan, M. Raja, M. Raja, D. Suresh, D. Suresh","Jeyam Ravi, Arvind Swamy, Nayanthara, Nassar","A police officer makes it his mission to destroy the most corrupt person in the country, Siddharth Abimanyu.",Tamil,India,4 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzgxMDc2Mjg3M15BMl5BanBnXkFtZTgwMzU4NTkxNzE@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"9,031",tt4987556,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE
17,Rang De Basanti,2006,NOT RATED,26-Jan-06,157 min,"Comedy, Drama, History",Rakeysh Omprakash Mehra,"Renzil D'Silva (screenplay), Prasoon Joshi (dialogue), Rakeysh Omprakash Mehra (screenplay), Kamlesh Pandey (story)","Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor","This story is about six friends who help an English filmmaker create a documentary about Indian freedom struggle. During filming, this group of friends learn about those before them and the importance of fighting for their rights.","Hindi, Panjabi, English",India,Nominated for 1 BAFTA Film Award. Another 17 wins & 19 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwNzA5MjAwN15BMl5BanBnXkFtZTcwMzY5MzIzMQ@@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"81,768",tt0405508,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/fighting-corruption-at-every-level/,01-Jan-98,N/A,N/A,N/A,TRUE
18,Baahubali 2: The Conclusion,2017,N/A,28-Apr-17,167 min,"Action, Adventure, Drama",S.S. Rajamouli,"Vijayendra Prasad (story by), S.S. Rajamouli (screenplay), C.H. Vijay Kumar (telugu dialogue), Ajay Kumar (telugu dialogue), Madhan Karky (tamil dialogue), Manoj Muntashir (hindi dialogue), Mankombu Gopalakrishnan (malayalam dialogue)","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","Tamil, Telugu, Hindi, Malayalam",India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYmE1MTg0MDMtZmFlMC00ZGM3LTlkYWItNzEzOWRmODlhNDQ2XkEyXkFqcGdeQXVyNzMxMzYyOTI@._V1_SX300.jpg,Internet Movie Database,8.8/10,N/A,8.8,"42,582",tt4849438,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.rottentomatoes.com/m/baahubali_2_the_conclusion,N/A,"$18,977,072",Arka Media Works,http://baahubali.com/,TRUE
19,Drishyam,2015,NOT RATED,31-Jul-15,163 min,"Crime, Drama, Mystery",Nishikant Kamat,"Jeethu Joseph (original story), Upendra Sidhaye (adapted by)","Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Hindi,India,2 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMjgyNDY3N15BMl5BanBnXkFtZTgwOTMzNTE5NTE@._V1_SX300.jpg,Internet Movie Database,8.4/10,N/A,8.4,"40,298",tt4430212,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/drishyam_2015/,N/A,N/A,B4U US,http://www.www.drishyamthefilm.com,TRUE
20,Sholay,1975,NOT RATED,15-Aug-75,162 min,"Action, Adventure, Comedy",Ramesh Sippy,"Javed Akhtar, Salim Khan","Dharmendra, Sanjeev Kumar, Hema Malini, Amitabh Bachchan","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Hindi,India,2 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BOWQ0YTUzYzItYjI0MC00OTZmLWE1MWQtY2EzMzU2MTlmMmJjXkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"39,417",tt0073707,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/sholay/,13-Jul-99,N/A,Adlabs Film,N/A,TRUE
21,Talvar,2015,NOT RATED,02-Oct-15,132 min,"Biography, Crime, Drama",Meghna Gulzar,"Vishal Bhardwaj, Aditya Nimbalkar (associate writer)","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Hindi,India,2 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzODg0Mjc4M15BMl5BanBnXkFtZTgwNzY4Mzc3NjE@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"18,585",tt4934950,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE
22,Hera Pheri,2000,NOT RATED,31-Mar-00,156 min,"Comedy, Crime, Musical",Priyadarshan,"Siddique (story), Lal (story), Neeraj Vora (dialogue), Neeraj Vora (screenplay), Anand S. Vardhan (story)","Akshay Kumar, Paresh Rawal, Sunil Shetty, Tabu","Three unemployed men find the answer to all their money problems when they recieve a call from a kidnapper. However, things do not go as planned.",Hindi,India,5 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTYwNDdmNmEtOGZhYS00MjRiLWIzOWUtNDQxNzg4ZTVjMGE1XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"39,103",tt0242519,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/hera-pheri/,31-Aug-99,N/A,Chaudhary Enterprises,N/A,TRUE
23,Munna Bhai M.B.B.S.,2003,NOT RATED,19-Dec-03,156 min,"Comedy, Drama, Romance",Rajkumar Hirani,"Vidhu Vinod Chopra (screenplay), Rajkumar Hirani (screenplay), Rajkumar Hirani, Lajan Joseph (screenplay), Abbas Tyrewala (dialogue)","Sunil Dutt, Sanjay Dutt, Arshad Warsi, Gracy Singh",A gangster sets out to fulfill his father's dream of becoming a doctor.,Hindi,India,17 wins & 29 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BY2JlMGI1YWQtYjBhMi00NTJiLTgxMzUtMGU4NThlZTAyYmMxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Internet Movie Database,8.2/10,N/A,8.2,"52,091",tt0374887,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/munna_bhai_mbbs/,30-Mar-04,N/A,N/A,N/A,TRUE
24,Andaz Apna Apna,1994,PG,04-Nov-94,160 min,"Comedy, Family, Romance",Rajkumar Santoshi,"Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story), Dilip Shukla (dialogue)","Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor","Two slackers competing for the affections of an heiress, inadvertently become her protectors from an evil criminal.",Hindi,India,4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNWE2MjhjMmMtNzQyMS00MmI0LTlkOTUtZDVlZjFlNmZkNDgyL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"39,652",tt0109117,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/andaz_apna_apna/,04-Jun-09,N/A,N/A,N/A,TRUE
25,Paan Singh Tomar,2012,NOT RATED,02-Mar-12,135 min,"Action, Biography, Crime",Tigmanshu Dhulia,"Sanjay Chauhan (screenplay), Tigmanshu Dhulia (screenplay)","Irrfan Khan, Ravi Bhushan Bhartiya, Hemendra Dandotiya, Mahie Gill","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Hindi,India,6 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTgwODM5OTMzN15BMl5BanBnXkFtZTcwMTA3NzI1Nw@@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"25,194",tt1620933,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/paan_singh_tomar_2012/,13-Apr-09,"$39,567",UTV Distribution,http://paansinghtomar.utvnet.com/,TRUE
26,Queen,2013,NOT RATED,07-Mar-14,146 min,"Adventure, Comedy, Drama",Vikas Bahl,"Vikas Bahl (story and screenplay), Chaitally Parmar (story and screenplay), Parveez Sheikh (story and screenplay), Anvita Dutt (dialogue), Kangana Ranaut (dialogue)","Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,"Hindi, English, French, Japanese, Dutch",India,11 wins & 22 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1ODUxMzA1Nl5BMl5BanBnXkFtZTgwNDk0NjMyMTE@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"47,210",tt3322420,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/771374391/,N/A,N/A,Viva Entertainment,https://www.facebook.com/queenmovie,TRUE
27,Black,2005,NOT RATED,04-Feb-05,122 min,Drama,Sanjay Leela Bhansali,"Sanjay Leela Bhansali (screenplay), Bhavani Iyer (English dialogue), Bhavani Iyer (screenplay), Prakash Kapadia (dialogue), Prakash Kapadia (screenplay)","Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor","The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.","Hindi, English",India,30 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTI5MmE5M2UtZjIzYS00M2JjLWIwNDItYTY2ZWNiODBmYTBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.2/10,N/A,8.2,"26,895",tt0375611,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/black/,10-May-05,"$125,342",Evokative Films,http://www.blacklefilm.com/,TRUE
28,Jo Jeeta Wohi Sikandar,1992,PG,22-May-92,174 min,"Comedy, Drama, Romance",Mansoor Khan,"Nasir Hussain (dialogue), Mansoor Khan (screenplay), Mansoor Khan (story)","Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi","A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",Hindi,India,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTU1ZjQwNDAtZDAwMC00OTcyLTg4MDUtOTUwYTU4N2M4YTgxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,8.2/10,N/A,8.2,"16,220",tt0104561,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/jo-jeeta-wohi-sikandar/,29-Aug-06,N/A,N/A,N/A,TRUE
29,Gangs of Wasseypur,2012,N/A,02-Aug-12,320 min,"Action, Crime, Drama",Anurag Kashyap,"Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia, Zeishan Quadri","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Hindi,India,10 wins & 33 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_SX300.jpg,Internet Movie Database,8.3/10,89,8.3,"54,166",tt1954470,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/gangs_of_wasseypur/,N/A,N/A,Studio 18,http://www.wasseypurworld.com/,TRUE
30,Swades,2004,NOT RATED,17-Dec-04,189 min,Drama,Ashutosh Gowariker,"M.G. Sathya (story), Ashutosh Gowariker (story), Ashutosh Gowariker (screenplay), Sameer Sharma (screenplay), Lalit Marathe (screenplay), Amin Hajee (screenplay), Charlotte Whitby-Coles (screenplay), Yashodeep Nigudkar (screenplay), Ayan Mukherjee (screenplay), K.P. Saxena (dialogue)","Shah Rukh Khan, Gayatri Joshi, Kishori Balal, Smit Sheth",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"Hindi, English",India,12 wins & 23 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYzExOTcwNjYtZTljMC00YTQ2LWI2YjYtNWFlYzQ0YTJhNzJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.3/10,N/A,8.3,"65,016",tt0367110,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/swades/,08-Mar-05,"$1,174,643",UTV Communications,N/A,TRUE
